UTC,x_coord,y_coord,click,scroll
2022-08-15 01:50:05.061248,1551,-634,None,None
2022-08-15 01:50:05.062192,1551,-633,None,None
2022-08-15 01:50:05.063192,1551,-632,None,None
2022-08-15 01:50:05.065183,1551,-631,None,None
2022-08-15 01:50:05.067179,1550,-631,None,None
2022-08-15 01:50:05.068175,1550,-630,None,None
2022-08-15 01:50:05.070187,1550,-630,Button.left,None
2022-08-15 01:50:05.071169,1550,-630,None,"[0, -1]"
2022-08-15 01:50:05.072166,1550,-629,None,None
2022-08-15 01:50:05.073168,1550,-629,Button.middle,None
2022-08-15 01:50:05.078150,1549,-628,None,None
2022-08-15 01:50:05.148336,1549,-629,None,None
2022-08-15 01:50:05.159310,1549,-630,None,None
2022-08-15 01:50:05.165291,1549,-631,None,None
2022-08-15 01:50:05.172273,1549,-632,None,None
2022-08-15 01:50:05.176263,1549,-633,None,None
2022-08-15 01:50:05.181264,1549,-634,None,None
2022-08-15 01:50:05.184250,1549,-634,None,"[0, 1]"
2022-08-15 01:50:05.185239,1548,-634,None,None
2022-08-15 01:50:05.188228,1548,-636,None,None
2022-08-15 01:50:05.190223,1547,-637,None,None
2022-08-15 01:50:05.191220,1547,-638,None,None
2022-08-15 01:50:05.193214,1547,-639,None,None
2022-08-15 01:50:05.195209,1546,-640,None,None
2022-08-15 01:50:05.198208,1545,-641,None,None
2022-08-15 01:50:05.199201,1545,-642,None,None
2022-08-15 01:50:05.201196,1545,-643,None,None
2022-08-15 01:50:05.203189,1544,-644,None,None
2022-08-15 01:50:05.205184,1544,-645,None,None
2022-08-15 01:50:05.207178,1543,-645,None,None
2022-08-15 01:50:05.209180,1543,-646,None,None
2022-08-15 01:50:05.213169,1542,-648,None,None
2022-08-15 01:50:05.216173,1541,-649,None,None
2022-08-15 01:50:05.217153,1540,-650,None,None
2022-08-15 01:50:05.220144,1540,-651,None,None
2022-08-15 01:50:05.220144,1539,-651,None,None
2022-08-15 01:50:05.222143,1539,-652,None,None
2022-08-15 01:50:05.223135,1538,-653,None,None
2022-08-15 01:50:05.226143,1538,-654,None,None
2022-08-15 01:50:05.226143,1537,-654,None,None
2022-08-15 01:50:05.227126,1537,-655,None,None
2022-08-15 01:50:05.228125,1536,-655,None,None
2022-08-15 01:50:05.229122,1536,-656,None,None
2022-08-15 01:50:05.231113,1536,-657,None,None
2022-08-15 01:50:05.232112,1535,-657,None,None
2022-08-15 01:50:05.234105,1534,-658,None,None
2022-08-15 01:50:05.239099,1534,-659,None,None
2022-08-15 01:50:05.241089,1533,-659,None,None
2022-08-15 01:50:05.242110,1532,-660,None,None
2022-08-15 01:50:05.244089,1531,-661,None,None
2022-08-15 01:50:05.246075,1530,-662,None,None
2022-08-15 01:50:05.247072,1530,-663,None,None
2022-08-15 01:50:05.248068,1529,-663,None,None
2022-08-15 01:50:05.250063,1528,-664,None,None
2022-08-15 01:50:05.253075,1527,-664,None,None
2022-08-15 01:50:05.254060,1527,-665,None,None
2022-08-15 01:50:05.255052,1526,-665,None,None
2022-08-15 01:50:05.256046,1526,-666,None,None
2022-08-15 01:50:05.257046,1525,-666,None,None
2022-08-15 01:50:05.258043,1525,-667,None,None
2022-08-15 01:50:05.259041,1524,-667,None,None
2022-08-15 01:50:05.260037,1523,-668,None,None
2022-08-15 01:50:05.263039,1522,-669,None,None
2022-08-15 01:50:05.266048,1521,-670,None,None
2022-08-15 01:50:05.267019,1520,-671,None,None
2022-08-15 01:50:05.270020,1519,-674,None,None
2022-08-15 01:50:05.273005,1518,-675,None,None
2022-08-15 01:50:05.274000,1518,-676,None,None
2022-08-15 01:50:05.274997,1518,-677,None,None
2022-08-15 01:50:05.275995,1517,-677,None,None
2022-08-15 01:50:05.277993,1517,-678,None,None
2022-08-15 01:50:05.280987,1516,-679,None,None
2022-08-15 01:50:05.283974,1516,-680,None,None
2022-08-15 01:50:05.286964,1516,-681,None,None
2022-08-15 01:50:05.287964,1515,-681,None,None
2022-08-15 01:50:05.287964,1515,-682,None,None
2022-08-15 01:50:05.291960,1515,-683,None,None
2022-08-15 01:50:05.294951,1514,-683,None,None
2022-08-15 01:50:05.295942,1514,-684,None,None
2022-08-15 01:50:05.297943,1513,-686,None,None
2022-08-15 01:50:05.300928,1513,-687,None,None
2022-08-15 01:50:05.301926,1512,-688,None,None
2022-08-15 01:50:05.303921,1512,-689,None,None
2022-08-15 01:50:05.305913,1511,-690,None,None
2022-08-15 01:50:05.307946,1510,-691,None,None
